Participant 	Albania 	Armenia 	Austria 	Azerbaijan 	Belarus 	Belgium 	Denmark 	Estonia 	F.Y.R. Macedonia 	Finland 	France 	Georgia 	Germany 	Greece 	Hungary 	Iceland 	Ireland 	Israel 	Italy 	Latvia 	Lithuania 	Malta 	Moldova 	Montenegro 	Norway 	Poland 	Portugal 	Romania 	Russia 	San Marino 	Slovenia 	Spain 	Sweden 	Switzerland 	The Netherlands 	Ukraine 	United Kingdom
Ukraine Ukraine
			5	10	8	4	1	8		2		6		5	2			5	10	7	5		10	7		5			7			6						113 	6
Belarus Belarus
		8		7														1			3		5	1					12							6		43 	16
Azerbaijan Azerbaijan
					3							7																	10	12						1		33 	22
Iceland Iceland
			2				5				7		2		5				7						6				1	8		1	4		6		4 	58 	15
Norway Norway
			1		4		6	3		7	2		5	3		1	7			5	8	2				7	3	1			5		3	5	10			88 	8
Romania Romania
			8	6	1	5			4								2	8	5			8	12		4		1					8						72 	12
Armenia Armenia
			12		10		2	5	8	4	12	12	6	7	7	2		6		10		6	3	10		1	4	7	8	6		4	5		7	10		174 	4
Montenegro Montenegro
	6	12							12																						7							37 	19
Poland Poland
				2	7				5		5		10	1	3	3			8				2	4	2						1		2			7		62 	14
Greece Greece
	2	7		4	6							4						2	3			1							4								2 	35 	20
Austria Austria
	5			1		12	8	4	3	12	10	10	7	12	10	10	12	12	12	6	10	10	7	2	10		12	8	5		12	12	12	12	12	8	12 	290 	1
Germany Germany
	4	6										5														8		2			2			7		5		39 	18
Sweden Sweden
	7		6			10	12	10		10	4	2		2	8	7	4	10		8	7	7	6	3	8	4	8	12	2	10	8	10		6	8	12	7 	218 	3
France France
										1																							1					2 	26
Russia Russia
		10		12	12			1	6			8		10				3		2	6	5	8				2									4		89 	7
Italy Italy
	10								2		1											12		6										2				33 	21
Slovenia Slovenia
									1															8														9 	25
Finland Finland
			4			3	4	6					4		6	5			6	3					7	3				3			6	4	2		6 	72 	11
Spain Spain
	12	2				2		2			6		1				6	4		4	4				5	2		5			4			8		2	5 	74 	10
Switzerland Switzerland
		5	3									1	3	4	1		5		2		2	3		5		10	7	6			3				3		1 	64 	13
Hungary Hungary
	8		7	8	5	7	3	7	10	5				6		6	1	7		1			4	12			6	10	6	7		2	7	1	4	3		143 	5
Malta Malta
	1			5						3							3		1											4					5		10 	32 	23
Denmark Denmark
		1				6				6	3		8			8					1				1	6	5	4		1	6	3	8	3	1		3 	74 	9
The Netherlands The Netherlands
		4	10		2	8	10	12	7	8	8		12	8	12	12	10		4	12	12				12	12	10	3	3	2	10	7	10	10			8 	238 	2
San Marino San Marino
	3	3		3											4								1															14 	24
United Kingdom United Kingdom
						1	7					3				4	8					4			3					5		5						40 	17
